subject	fissure	mask	space	distances
sub-57	1	cerebellar_mask	mni_ants	4.055185514729975
sub-58	1	cerebellar_mask	mni_ants	4.537938409606914
sub-59	1	cerebellar_mask	mni_ants	3.527218684692516
sub-60	1	cerebellar_mask	mni_ants	3.1196734013591843
sub-61	1	cerebellar_mask	mni_ants	7.208702911617704
sub-62	1	cerebellar_mask	mni_ants	4.237770605638458
sub-63	1	cerebellar_mask	mni_ants	3.7837837653602717
sub-64	1	cerebellar_mask	mni_ants	3.5945865243733865
sub-65	1	cerebellar_mask	mni_ants	3.673292938142218
sub-66	1	cerebellar_mask	mni_ants	4.322923679218882
sub-67	1	cerebellar_mask	mni_ants	3.29830181782511
sub-68	1	cerebellar_mask	mni_ants	5.618073038326198
sub-69	1	cerebellar_mask	mni_ants	2.937481232797849
sub-70	1	cerebellar_mask	mni_ants	3.7680376990874977
sub-71	1	cerebellar_mask	mni_ants	3.4272033407643088
sub-72	1	cerebellar_mask	mni_ants	3.4664474283172604
sub-73	1	cerebellar_mask	mni_ants	3.4882608506547923
sub-74	1	cerebellar_mask	mni_ants	3.9318879422142254
sub-75	1	cerebellar_mask	mni_ants	4.232435014126547
sub-76	1	cerebellar_mask	mni_ants	3.630351014207811
sub-77	1	cerebellar_mask	mni_ants	3.4980864746824514
sub-78	1	cerebellar_mask	mni_ants	3.9171550752099096
sub-79	1	cerebellar_mask	mni_ants	3.9270855337126047
sub-80	1	cerebellar_mask	mni_ants	5.317747969519465
sub-01	1	cerebellar_mask	suit	2.497351611982788
sub-02	1	cerebellar_mask	suit	2.739112030323784
sub-03	1	cerebellar_mask	suit	2.554693517975294
sub-04	1	cerebellar_mask	suit	2.9740997388409363
sub-05	1	cerebellar_mask	suit	2.4284926658299684
sub-06	1	cerebellar_mask	suit	3.0651627425062307
sub-07	1	cerebellar_mask	suit	3.0463688122459835
sub-08	1	cerebellar_mask	suit	3.7202481499001827
sub-09	1	cerebellar_mask	suit	3.328337060229932
sub-10	1	cerebellar_mask	suit	3.1540410037209066
sub-11	1	cerebellar_mask	suit	2.7615733572440138
sub-12	1	cerebellar_mask	suit	3.026439501857746
sub-13	1	cerebellar_mask	suit	2.475092179899119
sub-14	1	cerebellar_mask	suit	2.414469738409642
sub-15	1	cerebellar_mask	suit	3.8225526741170417
sub-16	1	cerebellar_mask	suit	2.845423851262336
sub-17	1	cerebellar_mask	suit	2.5036289579196986
sub-18	1	cerebellar_mask	suit	4.257690043668025
sub-19	1	cerebellar_mask	suit	4.762332699077617
sub-20	1	cerebellar_mask	suit	2.4479558726420074
sub-21	1	cerebellar_mask	suit	3.0395141559148313
sub-22	1	cerebellar_mask	suit	2.9319076881074855
sub-23	1	cerebellar_mask	suit	3.1754448704675564
sub-24	1	cerebellar_mask	suit	2.5587298323430185
sub-25	1	cerebellar_mask	suit	2.6456918192190373
sub-26	1	cerebellar_mask	suit	6.166315389315738
sub-27	1	cerebellar_mask	suit	4.98588934401881
sub-28	1	cerebellar_mask	suit	3.410317853598048
sub-29	1	cerebellar_mask	suit	2.859335743974054
sub-30	1	cerebellar_mask	suit	4.20863043740583
sub-31	1	cerebellar_mask	suit	2.508636742454023
sub-32	1	cerebellar_mask	suit	2.4244144476829144
sub-33	1	cerebellar_mask	suit	2.4576193156898265
sub-34	1	cerebellar_mask	suit	4.436335336195802
sub-35	1	cerebellar_mask	suit	2.8725421215816733
sub-36	1	cerebellar_mask	suit	3.5798340119591514
sub-37	1	cerebellar_mask	suit	3.177624538940286
sub-38	1	cerebellar_mask	suit	3.8467983416287757
sub-39	1	cerebellar_mask	suit	3.6069741654813012
sub-40	1	cerebellar_mask	suit	2.968336681225485
sub-41	1	cerebellar_mask	suit	3.179518113313873
sub-42	1	cerebellar_mask	suit	6.761389071452329
sub-43	1	cerebellar_mask	suit	2.431813702907661
sub-44	1	cerebellar_mask	suit	2.72250111278345
sub-45	1	cerebellar_mask	suit	3.015029056587633
sub-46	1	cerebellar_mask	suit	2.502000352539904
sub-47	1	cerebellar_mask	suit	3.008901120482294
sub-48	1	cerebellar_mask	suit	2.90052390941591
sub-49	1	cerebellar_mask	suit	4.522791599501267
sub-50	1	cerebellar_mask	suit	4.090531589854882
sub-51	1	cerebellar_mask	suit	2.635294039875181
sub-52	1	cerebellar_mask	suit	2.893018885651372
sub-53	1	cerebellar_mask	suit	4.63778718275962
sub-54	1	cerebellar_mask	suit	2.7398151370828647
sub-55	1	cerebellar_mask	suit	4.211710188444428
sub-56	1	cerebellar_mask	suit	4.446630286952773
sub-57	1	cerebellar_mask	suit	3.0757296332961617
sub-58	1	cerebellar_mask	suit	3.335862043057953
sub-59	1	cerebellar_mask	suit	3.13399986740124
sub-60	1	cerebellar_mask	suit	2.7175052562530135
sub-61	1	cerebellar_mask	suit	5.498532447681304
sub-62	1	cerebellar_mask	suit	2.9608758527190986
sub-63	1	cerebellar_mask	suit	3.8645129962307103
sub-64	1	cerebellar_mask	suit	2.898003244337324
sub-65	1	cerebellar_mask	suit	3.1660821587417467
sub-66	1	cerebellar_mask	suit	3.2566265608539564
sub-67	1	cerebellar_mask	suit	2.664708104972127
sub-68	1	cerebellar_mask	suit	6.102895250410764
sub-69	1	cerebellar_mask	suit	2.492061791981542
sub-70	1	cerebellar_mask	suit	3.068349914843508
sub-71	1	cerebellar_mask	suit	2.794968831901687
